BusinessName,isWomenOwned,OwnershipType,DiverseType,LeaderName,Designation
"Adil Business Systems, Inc.",0,ASIAN,MBE,SUSHIL CHACHRA,PRES
"MAX BUILDERS, INC.",0,ASIAN,MBE,FAZEELA A JUMAN,PRINCIPAL
C.C.C. RENOVATION INC.,0,HISPANIC,MBE,ROBINSON AGUDELO,PRESIDENT
Cetra/Ruddy Incorporated,1,NON-MINORITY,WBE,NANCY RUDDY,PRESIDENT
"MEC-CON ASSOCIATES, INC.",0,ASIAN,MBE,YOUNG AHN CHUNG,PRESIDENT
"Quality Protection Services, Inc.",1,NON-MINORITY,WBE,MIRJANA MIRJANIC,PRESIDENT
DYNAMIC CONSTRUCTION ENTERPRISES INC.,1,NON-MINORITY,WBE,SUSAN CARUSO,PRESIDENT
"On Press Graphics, Inc.",0,ASIAN,MBE,NARINDRA ARJUN,CHIEF EXECUTIVE OFFICER
"On Press Graphics, Inc.",0,ASIAN,MBE,RAJINDRA RAMNARA,AYAN PRESIDENT
DECCAN INTERNATIONAL,0,ASIAN,MBE,LATHA NAGARAJ,PRESIDENT
"Gramercy Group, Inc.",1,NON-MINORITY,WBE,VINCENT A PARZIALE,CHB
"Gramercy Group, Inc.",1,NON-MINORITY,WBE,VINCENT PARZIALE C,CHIEF OPERATING OFFICER
Mrny Consulting Solutions LLC,0,ASIAN,MBE,MOHAMMED RAHMAN,PRINCIPAL
Socaobiz Security Services LLC,0,BLACK,MBE,SOUMAILA A BOURAIMA,CHIEF EXECUTIVE OFFICER
"COOPER AND COMPANY CONSULTING, LLC",0,BLACK,MBE,WILLIAM COOPER,MEMBER
J & D CARRYING & CONSTRUCTION CORP.,0,HISPANIC,MBE,MANUEL MAYANCELA,PRESIDENT
Beyer Bros. Corp.,1,NON-MINORITY,WBE,EMIL BEYER,CHIEF EXECUTIVE OFFICER
Beyer Bros. Corp.,1,NON-MINORITY,WBE,PATTY BEYER , PRESIDENT
"Luster National, Inc.",0,BLACK,MBE,ROBERT LUSTER,PRES-CEO
KMETZ INC.,0,HISPANIC,MWBE,MARILYN KMETZ,PRESIDENT
"Data Conversion Laboratory, Inc.",1,NON-MINORITY,WBE,AMY WILLIAMS,S CHIEF OPERATING OFFICER
"Data Conversion Laboratory, Inc.",1,NON-MINORITY,WBE,MARK GROSS,PRESIDENT
DEERPATH CONSTRUCTION CORPORATION,1,NON-MINORITY,WBE,DONALD J MICHAEL JR,PRESIDENT
DEERPATH CONSTRUCTION CORPORATION,1,NON-MINORITY,WBE,RENEE MICHAEL CHIEF,F EXECUTIVE OFFICER
"MEENAN & ASSOCIATES, LLC",1,NON-MINORITY,WBE,COLLEEN M MEENAN,MEMBER
"TOTAL ELECTRICAL CONSTRUCTION CO., INC.",0,HISPANIC,MBE,MICHAEL LIPARI,PRESIDENT
AVENUES INTERNATIONAL INC.,0,ASIAN,MBE,ANUPAM GUPTA,PRESIDENT
Acc Construction Corporation,1,NON-MINORITY,WBE,MICHELE MEDAGLIA,CHAIRMAN OF THE BOARD
"Upstate Steel, Inc.",1,NON-MINORITY,WBE,BONNIE A CHMIELOWIEC,CHAIRMAN OF THE BOARD
"Upstate Steel, Inc.",1,NON-MINORITY,WBE,JON CHMIELOWIEC FINA,ANCE-OTHER
"CONTRACTOR'S LAYOUT, INC.",1,NON-MINORITY,WBE,DARCY QUAPPE,PRESIDENT
"People's Accident Information Service, Inc.",1,NON-MINORITY,WBE,JEROME MONAC,CO TREASURER
"People's Accident Information Service, Inc.",1,NON-MINORITY,WBE,LISA DOLAN,PRESIDENT
"One Parking, Inc.",1,NON-MINORITY,WBE,GREGORY SUSICK , CHIEF EXECUTIVE OFFICER
"One Parking, Inc.",1,NON-MINORITY,WBE,KIRSTEN DOLAN,PRESIDENT
SCHOOL BUS BY SUPERIOR INC.,1,NON-MINORITY,WBE,MARISA DELCORSO,CHIEF EXECUTIVE OFFICER
"I-Link Solutions, Inc.",0,ASIAN,MWBE,SHIVA RAMASAMY,PRESIDENT
"Janus Software, Inc.",1,NON-MINORITY,WBE,PATRICIA FISHER,PRINCIPAL
"Mezzoprint, LLC",0,ASIAN,MBE,ROBERT RICKHEERAM,MBR
"DVL CONSULTING ENGINEERS, INC.",0,BLACK,MBE,HECTOR MENA,PRES
"Certified Interiors, Inc.",1,NON-MINORITY,WBE,ROBERT A LEVEY,PRESIDENT
"PREMIUM WOODWORKING, LLC",0,ASIAN,MBE,BHEVENDRA PERSAUD,MEMBER
"Mahogany, Inc.",0,BLACK,MBE,JEFFREY HARGRAVE,PRESIDENT
"COLLAGE WORLDWIDE GROUP, INC.",0,BLACK,MBE,SEAN PHILLIPS PR,RESIDENT
"COLLAGE WORLDWIDE GROUP, INC.",0,BLACK,MBE,SHAREN PHILLLIPS,CHIEF OPERATING OFFICER
"Dependable Home Care, Inc.",0,BLACK,MBE,PATRICK DWYER,PRINCIPAL
"Perry Onah Enterprises, Inc.",0,BLACK,MBE,PERRY ONAH,PRESIDENT
Trinity Technologies LLC,0,HISPANIC,MBE,OSCAR CARRILLO,MEMBER
Logic House Ltd.,1,NON-MINORITY,WBE,SHEILA A HOUSE,PRES
DEVI TECHNOLOGIES LLC,0,ASIAN,MBE,ANKUR SAGGAR,PRINCIPAL
Knd Licensed Electrical Contracting & Services Corp.,1,NON-MINORITY,WBE,KRISTINE DENAPOLI,PRESIDENT
"Jem Computers, Inc.",1,NON-MINORITY,WBE,JAMES MILLER,CHIEF EXECUTIVE OFFICER
"Jem Computers, Inc.",1,NON-MINORITY,WBE,JAMI MOORE P,PRESIDENT
SIGNS & DECAL CORP.,0,ASIAN,MBE,ABDULRASUL KHALFAN P,PRESIDENT
SIGNS & DECAL CORP.,0,ASIAN,MBE,ABDULRASUL M KHALFAN,PRESIDENT
"Miller Druck Specialty Contracting, Inc.",1,NON-MINORITY,WBE,BARBARA E COHEN,CEO-PRES
"Miller Druck Specialty Contracting, Inc.",1,NON-MINORITY,WBE,FRANK MIZERIK C,CHIEF FINANCIAL OFFICER
"ARBOR CONSULTING, INC.",1,NON-MINORITY,WBE,LAUREN TACTIKOS,PRESIDENT
"Caldwell Marine International, LLC",0,HISPANIC,MBE,JUAN GUTIERREZ,MBR
"Caldwell Marine International, LLC",0,HISPANIC,MBE,ROLANDO ACOSTA,VP SALES & MARKETING
"DESIGN & SOURCE PRODUCTIONS, INC.",1,NON-MINORITY,WBE,LAURA TUFARIELLO,PRESIDENT
"ATCO CONTRACTING GROUP, INC.",1,NON-MINORITY,WBE,ELAINA VIENNAS,PRESIDENT
"ATCO CONTRACTING GROUP, INC.",1,NON-MINORITY,WBE,PETER VIENNAS , CHIEF FINANCIAL OFFICER
"Savin Engineers, P.C.",0,ASIAN,MBE,STEVE MARTINO,BR MGR
"Matiss, Inc.",1,NON-MINORITY,WBE,MIHAELA KALNINS CUCEU,PRESIDENT
Optimum Window Manufacturing Corp.,0,HISPANIC,MBE,CANDIDO PEREZ,CHAIRMAN OF THE BOARD
"MPS SOLUTIONS, LLC",0,HISPANIC,MBE,MARX ACOSTA RUBIO,MANAGING MEMBER
"TCR RAIL SYSTEMS, LLC",1,NON-MINORITY,WBE,SANDRA RAMEY,MANAGING MEMBER
Miles Petroleum Co. Inc.,1,NON-MINORITY,WBE,ANGELA STERN,PRESIDENT
ACCURATE PRECAST CORP.,1,NON-MINORITY,WBE,FRED LERMER,PRINCIPAL
"XPONANCE, INC.",0,BLACK,MWBE,TINA BYLES WILLIAMS,CHIEF EXECUTIVE OFFICER
"Advanced Integration Group, Inc.",1,NON-MINORITY,WBE,DONNA D CHAPPEL,PRESIDENT
"CES CONSULTANTS, INC.",0,HISPANIC,MBE,RUDY M ORTIZ,CEO
"Neo Tech Solutions, Inc.",0,ASIAN,MBE,KRISHNA REDDY,CHIEF EXECUTIVE OFFICER
Tri-Force Consulting Services Inc,0,ASIAN,MBE,MANISH GORAWALA,PRESIDENT
Brent Material Company,1,NON-MINORITY,WBE,RICHARD J GARDNER,PRES
"COLE PARTNERS, INC.",0,BLACK,MBE,MARLON COLE,PRESIDENT
"Tanisha Systems, Inc.",0,ASIAN,MBE,GORAV AGGARWAL,PRESIDENT
HUICATAO CORP.,0,ASIAN,MBE,PHILIP HUI,PRESIDENT
HUICATAO CORP.,0,ASIAN,MBE,WILLIAM HUI , CHIEF FINANCIAL OFFICER
"UNITED ENERGY SYSTEMS, INC.",1,NON-MINORITY,WBE,SUSAN KOPERCZAK,PRESIDENT
"Creative Edge Parties Caterers, Inc.",1,NON-MINORITY,WBE,CARLA RUBEN,PRESIDENT
"ACADEMY SECURITIES, INC.",0,HISPANIC,MBE,PHILIP MCCONKEY PR,RESIDENT
"ACADEMY SECURITIES, INC.",0,HISPANIC,MBE,RONALD CHANCE MIMS,CEO
"Radiant Resources, Inc.",1,NON-MINORITY,WBE,JENNIFER NAUGHTON,PRES
"T.U.C.S. Cleaning Service, Inc.",0,HISPANIC,MBE,SERGIO ARTAZU,PRES
"T.U.C.S. Cleaning Service, Inc.",0,HISPANIC,MBE,SERGIO ARTAZU,PRESIDENT
"Minoritech, Inc.",0,ASIAN,MBE,JOHN MARCAIDA,PRESIDENT
"Minoritech, Inc.",0,ASIAN,MBE,SALLY LIPARI , TREASURER
"BARGOOSE HOME TEXTILES, INC.",1,NON-MINORITY,WBE,DIANE RATTNER,CHAIRMAN OF THE BOARD
BRIENZA'S ACADEMIC ADVANTAGE INC.,1,NON-MINORITY,WBE,JEFFREY THIBAULT,T CHIEF EXECUTIVE OFFICER
BRIENZA'S ACADEMIC ADVANTAGE INC.,1,NON-MINORITY,WBE,VICTOR BRIENZA,CHAIRMAN OF THE BOARD
PHANTOM CARTING INC.,0,HISPANIC,MBE,CARLOS BAUTISTA,PRINCIPAL
Dasnet Corporation,0,BLACK,MBE,DAVID A SALLEY,CEO
Dasnet Corporation,0,BLACK,MBE,MATTHEW SCHWARTZ,Z CHIEF FINANCIAL OFFICER
"SALSA CATERING & SPECIAL EVENTS, INC.",0,HISPANIC,MBE,DANIEL R GARCIA,PRESIDENT
"Conway, Farrell, Curtin & Kelly, P.C.",1,NON-MINORITY,WBE,KEVIN J KELLY,PRES
"Conway, Farrell, Curtin & Kelly, P.C.",1,NON-MINORITY,WBE,PATRICK CURTIN , TREASURER
"Two One Two New York, Inc.",0,HISPANIC,MWBE,JOSEPHINE MARINI,CEO
"Two One Two New York, Inc.",0,HISPANIC,MWBE,MARISA FUMEI-SOUTH,H PRESIDENT
"TOSCANO CLEMENTS TAYLOR, LLC",1,NON-MINORITY,WBE,KIMBERLEE TOSCANO,MBR
"Cerami & Associates, Inc.",1,NON-MINORITY,WBE,VICTORIA J CERAMI,PRESIDENT
"Lex Reporting Service, Inc.",1,NON-MINORITY,WBE,CLAIRE BLOCK,PRES-TREAS
"Desman, Inc.",0,ASIAN,MBE,GIRI CHHABRA CH,HIEF EXECUTIVE OFFICER
"Desman, Inc.",0,ASIAN,MBE,JOHN Y FUJIWARA,CHM
MANOR ELECTRIC SUPPLY CORP.,0,BLACK,MBE,KENNETH RABINOWITZ,CHAIRMAN OF THE BOARD
MANOR ELECTRIC SUPPLY CORP.,0,BLACK,MBE,LAWRENCE RAFALOVICH , PRESIDENT
"SUKA CREATIVE, INC.",1,NON-MINORITY,WBE,SUSAN KARLIN,PRINCIPAL
"Eastern Bag and Paper Company, Incorporated",1,NON-MINORITY,WBE,ERIC PEABODY PR,RESIDENT
"Eastern Bag and Paper Company, Incorporated",1,NON-MINORITY,WBE,MEREDITH REUBEN,CEO
PROLINE PAINTING INC.,0,BLACK,MBE,IAN LYNDOW,PRESIDENT
C. FRANCIS CONSTRUCTION CORP.,0,BLACK,MBE,CARY FRANCIS,PRESIDENT
"Sherry Matthews, Inc.",1,NON-MINORITY,WBE,SHERRY MATTHEWS,PRES
"Sherry Matthews, Inc.",1,NON-MINORITY,WBE,WARDALEEN BELVIN , CHIEF FINANCIAL OFFICER
"Softek International, Inc.",0,ASIAN,MBE,ANSHU SINHA,PRESIDENT
"Evanhoe & Associates, Inc.",0,ASIAN,MBE,CHARLES E EVANHOE,PRESIDENT
Kapstone Technologies LLC,0,ASIAN,MWBE,BHARATI PATIL,PRESIDENT
"Economic Project Solutions, Inc",1,NON-MINORITY,WBE,KIMBERLEY GILLESPIE,PRESIDENT
Busy Bee Cleaning Service Corp.,1,NON-MINORITY,WBE,FATIMA WISZNIEWSKI,PRESIDENT
"DOYLE SECURITY SERVICES, INC.",0,ASIAN,MBE,MARIO J DOYLE,CHIEF EXECUTIVE OFFICER
TOTAL CONSTRUCTION CORP.,0,ASIAN,MBE,FARHANG NAJMI,PRESIDENT
ABS CONTRACTING NY CORP.,0,ASIAN,MBE,AMRIK SING,OWNER
Empire Electronics Inc.,1,NON-MINORITY,WBE,NANCY PAVIS,PRES
Bradford Construction Corp.,1,NON-MINORITY,WBE,EHAB SHEHATA , PRESIDENT
Bradford Construction Corp.,1,NON-MINORITY,WBE,SANDRA WILKIN,CHIEF EXECUTIVE OFFICER
ADVANCED CONSTRUCTION EQUIPMENT CORP.,0,ASIAN,MBE,ADNAN RAJA,PRESIDENT
Amtab Manufacturing Corporation,0,ASIAN,MBE,DOSS SAMIKKANNU,PRESIDENT
Amtab Manufacturing Corporation,0,ASIAN,MBE,TADEUSZ HANUSIAK , PRESIDENT
"LOHRIUS BLUEPRINT CO., LLC",1,NON-MINORITY,WBE,JAMES LOHRIUS,OWNER
GATEWAY DEMO/CIVIL CORP.,0,HISPANIC,MBE,KENNETH FROHLICK PRESI,IDENT
GATEWAY DEMO/CIVIL CORP.,0,HISPANIC,MBE,TIMOTHY ALEX CONCANNON,PRESIDENT
SA Engineering LLC,0,ASIAN,MBE,SYED ASHRAF,GENERAL MANAGER
GLASCO UV LLC,1,NON-MINORITY,WBE,JULIE DONNELLAN,MEMBER
Arbee Associates,1,NON-MINORITY,WBE,CHRIS HANES CHI,IEF OPERATING OFFICER
Arbee Associates,1,NON-MINORITY,WBE,NANCY BERKOWITZ,MANAGER
"Hirepower Personnel, Inc.",1,NON-MINORITY,WBE,CELESTE A GLASS,PRESIDENT
Bca Watson Rice LLP,0,BLACK,MBE,BENNIE HADNOTT,PTNR
"GRANDAISY BAKERY, INC.",0,HISPANIC,MWBE,MONICA VON THUN CALDERON,PRES
"Ms Unlimited, Inc.",1,NON-MINORITY,WBE,MARY BETH SBARAGLIA,PRESIDENT
PENSERRA SECURITIES LLC,0,HISPANIC,MBE,GEORGE MADRIGAL,CEO
PENSERRA SECURITIES LLC,0,HISPANIC,MBE,ROBERT GODDARD , TREASURER
GENESIS ARCHITECTURAL LLC,1,NON-MINORITY,WBE,ANA MELCHING,MEMBER
Blackhawk Data LLC,1,NON-MINORITY,WBE,MARYANN PAGANO,MANAGING MEMBER
"EAGLE EYE SECURITY SOLUTIONS, INC.",0,BLACK,MBE,JUAN FRANCISCO GONZALEZ,CHIEF EXECUTIVE OFFICER
Zarco Contracting Inc.,1,NON-MINORITY,WBE,AGNIESZKA TARNOWSKI,PRESIDENT
Indotronix International Corp,0,ASIAN,MBE,ANEEL POTLURI,PRES
Indotronix International Corp,0,ASIAN,MBE,SAMEER PENAKALA,APATI CHIEF OPERATING OFFICER
"Constructomics, LLC",0,BLACK,MBE,TREVOR A PRINCE,MEMBER
"A & A Consultants, Inc.",0,BLACK,MBE,AL AHMED,PRESIDENT
Redstream Technology LLC,1,NON-MINORITY,WBE,PETER SCHENEC,CK CHIEF OPERATING OFFICER
Redstream Technology LLC,1,NON-MINORITY,WBE,SIOUX LOGAN,PRESIDENT
NEX-XOS WORLDWIDE LLC,0,HISPANIC,MBE,JUAN SHEHIN , CHIEF OPERATING OFFICER
NEX-XOS WORLDWIDE LLC,0,HISPANIC,MBE,SAUL MISHKIN,PRES-CEO
"IMS Technology Services, Inc.",1,NON-MINORITY,WBE,JASON CATALDI VP,P SALES & MARKETING
"IMS Technology Services, Inc.",1,NON-MINORITY,WBE,JILL S RENNINGER,PRESIDENT
MAC CONTRACTOR INC.,0,ASIAN,MBE,MOHAMMAD IQBAL,PRESIDENT
Futran Solutions Inc,0,ASIAN,MBE,KRISHNA VEMURI,CEO
"GT SOLUTIONS, INC.",0,ASIAN,MBE,TARO MUKAI,PRESIDENT
"APPLIED SCIENCES GROUP, INC.",1,NON-MINORITY,WBE,PAUL BUCKLEY,PRESIDENT
GREAT PACIFIC SECURITIES,0,HISPANIC,MBE,CHRISTOPHER VI,INCK PRESIDENT
GREAT PACIFIC SECURITIES,0,HISPANIC,MBE,DAVID SWOISH,CHIEF EXECUTIVE OFFICER
"NY CONSTRUCTION WORK, INC.",0,ASIAN,MBE,HYUK KEUN HWANG,CHAIRMAN OF THE BOARD
VETERANS CONTRACTING LLC,0,HISPANIC,MBE,RICHARD R RADICI,PRINCIPAL
LERCO ELECTRIC LLC,0,HISPANIC,MBE,LEONCIO REYES,PRESIDENT
"SCOTT LANDSCAPE DESIGN, INC.",1,NON-MINORITY,WBE,ANTHONY SCOTT,PRESIDENT
"SCOTT LANDSCAPE DESIGN, INC.",1,NON-MINORITY,WBE,LAURA SCOTT T,TREASURER
"PROGRESSIVE CONSTRUCTION OF LONG ISLAND, INC.",1,NON-MINORITY,WBE,JOSEPH PEDICINI,PRINCIPAL
ROMEO FOODS INC.,1,NON-MINORITY,WBE,DAWN MUSOROSITI,PRESIDENT
"O&S Associates, Inc.",0,ASIAN,MBE,VENKITASAMY PERUMALSAMY,PRINCIPAL
Community News Group LLC,1,NON-MINORITY,WBE,JENNIFER GOODST,TEIN PRESIDENT
Community News Group LLC,1,NON-MINORITY,WBE,LES GOODSTEIN,CEO
SIENIA CONSTRUCTION INC,1,NON-MINORITY,WBE,ANNA JANECZKO,CHIEF EXECUTIVE OFFICER
SIENIA CONSTRUCTION INC,1,NON-MINORITY,WBE,SYLVESTER KACZY,YNSKI TREASURER
"Watts Architecture & Engineering, D.P.C.",0,BLACK,MBE,EDWARD O WATTS JR,PRES
"Watts Architecture & Engineering, D.P.C.",0,BLACK,MBE,JAMES CAHILL TREA,ASURER
"Unicorn Construction Enterprises, Inc.",0,ASIAN,MBE,SANJEEV DHAWAN,PRESIDENT
"MEGA PROTECTIVE SERVICES, INC.",0,HISPANIC,MBE,RICHARD PEREZ,PRESIDENT
"OCTAGON GRAPHICS, INC.",0,HISPANIC,MWBE,WENDY ALEXANDER , PRESIDENT
"OCTAGON GRAPHICS, INC.",0,HISPANIC,MWBE,WENDY SAUNDERS,PRESIDENT
Nova Electric LLC,1,NON-MINORITY,WBE,TATIYANA NICHOLSON,PRESIDENT
"George G. Sharp, Inc.",0,ASIAN,MBE,ALLEN CHIN PRE,ESIDENT
"George G. Sharp, Inc.",0,ASIAN,MBE,I HILARY ROLIH,CHB
"192 Branch Interior Services, Inc.",0,ASIAN,MBE,ARTHUR CHU,PRESIDENT
TRUSCO BUILDING SUPPLY,1,NON-MINORITY,WBE,FRANK TROLIO JR,PRESIDENT
"FRASCA & ASSOCIATES, LLC",1,NON-MINORITY,WBE,DOREEN FRASCA,MEMBER
"Innovative Systems Group of Florida, Inc.",0,ASIAN,MBE,THOMAS BRYAN,PRESIDENT
"H & M ENVIRONMENTAL, INC.",0,HISPANIC,MBE,MARIO LIZAMA,PRESIDENT
FLUSHING BUILDING SUPPLY LLC,0,ASIAN,MBE,CHIHUA HSU,MANAGING MEMBER
"PeMcCo, Inc.",0,BLACK,MBE,PRESCOTT SHERROD,PRES
Vertex LLC,1,NON-MINORITY,WBE,ZACK GOULDER,MANAGING MEMBER
Ashnu International Inc.,0,ASIAN,MBE,NAYAN PARIKH,PRESIDENT
The Sartell Group Inc,1,NON-MINORITY,WBE,FORREST SARTE,ELL CHIEF OPERATING OFFICER
The Sartell Group Inc,1,NON-MINORITY,WBE,PAM SARTELL,PRESIDENT
TAKBEER ENTERPRISES INC,0,ASIAN,MBE,MUHAMMED AFTAB , CHIEF FINANCIAL OFFICER
TAKBEER ENTERPRISES INC,0,ASIAN,MBE,MUHAMMED T BEIG,PRESIDENT
"Sterling Floor Designs, Ltd.",1,NON-MINORITY,WBE,JERRY HERZ,PRESIDENT
MORGNER TECHNOLOGY MANAGEMENT,0,HISPANIC,MWBE,CARLOS E MORGNER,PRESIDENT
MORGNER TECHNOLOGY MANAGEMENT,0,HISPANIC,MWBE,MONIQUE MORGNER , CHIEF EXECUTIVE OFFICER
"Roger & Sons Concrete, Inc.",0,HISPANIC,MBE,ANTONIO RODRIGUES,PRESIDENT
UNITED INDUSTRIES & CONSTRUCTION CORP.,0,HISPANIC,MBE,ANTONIO MORALES,PRESIDENT
Citadel NY Inc.,1,NON-MINORITY,WBE,CHRISTOPHER TYSO,ON CHIEF FINANCIAL OFFICER
Citadel NY Inc.,1,NON-MINORITY,WBE,SEVDA IMRANOVA,PRES-CEO-CHB
Linita Design & Mfg. Corp.,0,HISPANIC,MBE,CARLOS VERA,PRESIDENT
"Advanced Presentation Systems, Inc.",0,ASIAN,MWBE,CHERYL LYNN GAMST,PRESIDENT
9 BROTHERS BUILDING SUPPLY CORP.,1,NON-MINORITY,WBE,GIULIANA PALMIERI,PRESIDENT
"Csa Group NY Architects and Engineers, P.C.",0,HISPANIC,MBE,FREDERICK RIESKO,OHL CHIEF FINANCIAL OFFICER
"Csa Group NY Architects and Engineers, P.C.",0,HISPANIC,MBE,JESUS J SUAREZ,PRES
"Outsource Consultants, Inc.",0,HISPANIC,MBE,DIEGO CABALLERO,PRESIDENT
"Outsource Consultants, Inc.",0,HISPANIC,MBE,JOSEPH ROSELLI , TREASURER
Powerphyl Media Solutions LLC,1,NON-MINORITY,WBE,JANE MURPHY,MEMBER
Powerphyl Media Solutions LLC,1,NON-MINORITY,WBE,STEPHEN OMELT,TCHENKO CHIEF EXECUTIVE OFFICER
"PICTURE THAT, LLC",0,BLACK,MWBE,VALERIE A COOPER,MEMBER
"Yu & Associates, Inc.",0,ASIAN,MBE,K PETER YU,CHAIRMAN OF THE BOARD
"Cassone Leasing, Inc.",1,NON-MINORITY,WBE,LYNN KUNZ-,#NAME?
"BAE URBAN ECONOMICS, INC.",0,ASIAN,MBE,JANET SMITH-,#NAME?
"J & S VALVE, INC.",1,NON-MINORITY,WBE,STACIE B BOLENDER,CEO-PRES
TRYUS X INC.,0,BLACK,MBE,WILSON WILLIAMS JR,PRESIDENT
"Sheen & Shine, Inc.",0,BLACK,MBE,CHARLES CUYLER , PRESIDENT
"Sheen & Shine, Inc.",0,BLACK,MBE,ISRAEL CUYLER,PRESIDENT
"Raul V. Bravo + Associates, Inc.",0,HISPANIC,MBE,RAUL V BRAVO,PRESIDENT
"ASSOCIATED ENVIRONMENTAL SERVICES, LTD.",0,HISPANIC,MBE,JOHN SCHRETZMAYER,PRESIDENT
"A. ESTEBAN & COMPANY, INC.",0,HISPANIC,MBE,ALPHONSO C ESTEBAN,CHB
"WORLD WIDE TECHNOLOGY, INC.",0,BLACK,MBE,BILL MCKEON VP , SALES & MARKETING
"WORLD WIDE TECHNOLOGY, INC.",0,BLACK,MBE,DAVID L STEWARD,PRESIDENT
"Mark Richey Woodworking and Design, Inc.",0,HISPANIC,MWBE,GREG PORFIDO , CHIEF OPERATING OFFICER
"Mark Richey Woodworking and Design, Inc.",0,HISPANIC,MWBE,MARK RICHEY,PRESIDENT
"VEEJAY ASSOCIATES, INC.",0,ASIAN,MBE,VIJAY VEERACHANDRAN,PARTNER
"Russo Development Enterprises, Inc.",1,NON-MINORITY,WBE,ANTHONY RUSSO , TREASURER
"Russo Development Enterprises, Inc.",1,NON-MINORITY,WBE,JENNIFER RUSSO,PRESIDENT
"C.C. Johnson & Malhotra, P.C.",0,ASIAN,MBE,ANIL AHUJA TRE,EASURER
"C.C. Johnson & Malhotra, P.C.",0,ASIAN,MBE,KUMAR MALHOTRA,CEO
"ROSS BARNEY ARCHITECTS, P.C.",1,NON-MINORITY,WBE,CAROL ROSS BARNEY,PRESIDENT
"ROSS BARNEY ARCHITECTS, P.C.",1,NON-MINORITY,WBE,ROXANNE HENRY CHI,IEF FINANCIAL OFFICER
"SEERY SYSTEMS GROUP, INC.",0,HISPANIC,MWBE,RICHARD J SEERY,PRESIDENT
"CLARK TRANSPORTATION CONSULTING & SERVICES, LLC",0,BLACK,MBE,BRIAN L CLARK,MANAGING MEMBER
"Wemco Casting, LLC",1,NON-MINORITY,WBE,SHAREN FENCHEL,OWNER
Curtis Partition Corporation,0,ASIAN,MBE,AJAY NARULA,CEO
Curtis Partition Corporation,0,ASIAN,MBE,SUDARSHAN NAR,RULA PRESIDENT
Home Clean Home Inc.,1,NON-MINORITY,WBE,NEIL FRIEDMAN,CHIEF FINANCIAL OFFICER
Home Clean Home Inc.,1,NON-MINORITY,WBE,NICOLE LEVINE,CHIEF EXECUTIVE OFFICER
"American Technical Services, Inc.",0,ASIAN,MBE,ALEN PETROSSIAN,PRESIDENT
"Forsythe Cosmetic Group, Ltd.",1,NON-MINORITY,WBE,HARRIET ROSE,CHAIRMAN OF THE BOARD
"Forsythe Cosmetic Group, Ltd.",1,NON-MINORITY,WBE,MICHAEL ROSE,PRESIDENT
Blade Contracting Inc.,0,HISPANIC,MBE,VINCENT PUNZONE,PRES
AMG DEMOLITION INC.,1,NON-MINORITY,WBE,JONI MIGLIACCIO,PRESIDENT
"Litespeed Electric, Inc.",1,NON-MINORITY,WBE,DONNA FLEMING,PRESIDENT
"Litespeed Electric, Inc.",1,NON-MINORITY,WBE,MIKE CHANGANI,CHIEF FINANCIAL OFFICER
CHARTER SCHOOL BUSINESS MANAGEMENT INC.,0,ASIAN,MBE,SNEHAL THAKKAR,PRESIDENT
Dreamland Security Services Inc.,0,BLACK,MBE,MARVIS ERHUNMWUNSE,PRESIDENT
CLASSICO BUILDING MAINTENANCE INC.,0,HISPANIC,MWBE,MARIA RIOS,PRESIDENT
NATIONWIDE MAINTENANCE & GENERAL CONTRACTING INC.,1,NON-MINORITY,WBE,MARCIE MANFREDONIA,PRESIDENT
"Sushi House, Inc.",0,ASIAN,MBE,ALEX KIM,CHAIRMAN OF THE BOARD
Macquesten Construction Management LLC,1,NON-MINORITY,WBE,RELLA FOGLIANO,MNG MBR
"TOGGLE INDUSTRIES, INC.",0,ASIAN,MBE,DANIEL BLANK,PRESIDENT
"TOGGLE INDUSTRIES, INC.",0,ASIAN,MBE,IAN COHEN CH,HIEF OPERATING OFFICER
PREMIER ENTERPRISE CO. INC.,0,ASIAN,MBE,JASON LEE,CHAIRMAN OF THE BOARD
"E.A.T. W/ Culinary Professionals, Inc.",0,BLACK,MBE,JAMES PETERSON,CHIEF EXECUTIVE OFFICER
CONNICO INCORPORATED,1,NON-MINORITY,WBE,CONNIE S GOWDER,PRES
"DESIGN IDEAS GROUP ARCHITECTURE & PLANNING, LLC",0,BLACK,MBE,JOSEPH P TOMAINO,MEMBER
AKELA CONTRACTING LLC,1,NON-MINORITY,WBE,MICHAEL WILLIAMS,MEMBER
"Clarity Partners, LLC",0,ASIAN,MBE,DAVID NAMKUNG,MANAGING PARTNER
Cogent Infotech Corporation,0,ASIAN,MBE,MANU MEHTA,PRESIDENT
"Circle Janitorial Supplies, Inc.",0,HISPANIC,MBE,DANIEL QUILES,V PRES
KUEI LUCK EARLY CHILDHOOD CENTER LLC,0,ASIAN,MBE,KEVIN KUNG,MEMBER
MARIN ARCHITECTS P.C.,0,HISPANIC,MBE,WALTER MARIN,PRESIDENT
CRC ASSOCIATES INC.,0,ASIAN,MBE,CHETAN PATEL,PRESIDENT
Rock Group NY Corp.,0,ASIAN,MBE,SIMRANPAL SINGH,CHAIRMAN OF THE BOARD
HABACUS CONSTRUCTION INC.,0,HISPANIC,MBE,YOVANNY MARTINEZ,PRESIDENT
